zcta,population_2024,population_2024_moe,households_total,renter_households,renter_hh_share_pct,population_cagr_10yr_pct,population_2014_proxy,population_projection_2035,median_hh_income,median_renter_hh_income,pct_cost_burdened_30plus,pct_severely_cost_burdened_50plus,pct_under_5,under_5_count,under_5_density_per_sqmi,pct_dual_income_mc_hh,pct_bachelors_or_higher,foreign_born_pct,lep_pct,lep_speakers_5plus,top_language_1_name,top_language_1_speakers,top_language_2_name,top_language_2_speakers,top_language_3_name,top_language_3_speakers,top_language_4_name,top_language_4_speakers,top_language_5_name,top_language_5_speakers,pct_asian,pct_black,pct_hispanic,pct_white_nh,pct_other,pct_asian_2014,pct_black_2014,pct_hispanic_2014,pct_white_nh_2014,commute_min_seattle_cbd,commute_min_slu,commute_min_bellevue_cbd,commute_min_redmond_msft,commute_min_everett_boeing,commute_min_renton_boeing,moe_flags,acs_vintage
98105,49229,2263,18106,12113,66.9,1.44,42668,,78691,,56.89,34.29,3.13,1541,401.6,4.98,77.23,21.27,5.96,2844,Chinese (Mandarin/Cantonese),4565,Spanish,1739,Other Indo-European,1653,Other Asian/Pacific Island,1384,Russian/Polish/Slavic,753,23.16,3.43,6.76,56.5,10.15,,,,,24.7,21.8,30.6,40.6,68.4,52.3,,ACS5 2019-2023
98106,28889,1985,11496,4806,41.81,1.44,25039,,115529,,51.83,25.16,5.69,1645,299.9,6.97,45.0,24.15,12.49,3402,Spanish,2558,Vietnamese,1364,Tagalog/Filipino,997,Other Asian/Pacific Island,605,Chinese (Mandarin/Cantonese),306,14.91,15.0,15.56,42.67,11.87,,,,,27.1,31.3,46.0,54.5,88.2,38.8,,ACS5 2019-2023
98107,28390,1808,15434,9355,60.61,1.44,24606,,137748,,36.59,16.01,4.45,1263,579.1,4.81,76.15,15.17,3.0,815,Chinese (Mandarin/Cantonese),1281,Spanish,738,Other Indo-European,699,Other Asian/Pacific Island,286,Korean,215,12.91,1.23,7.28,71.41,7.17,,,,,26.2,22.0,47.3,52.8,68.6,57.9,,ACS5 2019-2023
98108,24430,1557,8526,3676,43.12,1.44,21174,,90806,,49.37,19.7,6.15,1503,203.1,7.42,36.96,35.1,26.54,6085,Chinese (Mandarin/Cantonese),3562,Spanish,1799,Vietnamese,1369,Tagalog/Filipino,976,Other Asian/Pacific Island,850,37.07,18.95,11.27,25.43,7.29,,,,,30.8,35.2,42.2,51.5,89.2,28.3,,ACS5 2019-2023
98109,32552,1314,20583,16173,78.57,1.44,28213,,130845,,32.89,14.28,1.66,541,279.6,1.89,78.06,28.54,4.82,1542,Other Indo-European,2980,Chinese (Mandarin/Cantonese),2045,Spanish,1464,Other Asian/Pacific Island,1452,Korean,356,28.43,3.49,7.96,53.36,6.76,,,,,11.5,7.2,40.1,49.0,73.9,50.8,,ACS5 2019-2023
98112,23961,1601,10918,4276,39.16,1.44,20767,,162073,,37.51,18.36,3.5,839,261.9,6.44,80.93,10.58,2.23,515,Other Asian/Pacific Island,677,Spanish,622,German/W.Germanic,541,Chinese (Mandarin/Cantonese),444,French/Haitian/Cajun,349,9.95,4.09,3.92,75.85,6.19,,,,,18.4,16.8,27.6,40.9,72.1,48.9,,ACS5 2019-2023
98115,54248,1680,23403,9520,40.68,1.44,47018,,148190,,40.37,18.67,4.7,2548,388.8,8.48,78.34,12.86,3.72,1921,Chinese (Mandarin/Cantonese),2349,Spanish,1477,Other Indo-European,1309,Other Asian/Pacific Island,681,Korean,403,13.01,1.68,5.49,72.8,7.01,,,,,32.7,29.2,36.5,42.6,64.1,56.4,,ACS5 2019-2023
98116,28091,2036,13386,6204,46.35,1.44,24347,,130504,,40.54,19.76,5.25,1476,491.8,7.76,68.89,13.56,3.36,894,Russian/Polish/Slavic,980,Spanish,662,French/Haitian/Cajun,336,Other Indo-European,309,Tagalog/Filipino,254,6.32,3.34,4.89,78.86,6.59,,,,,22.7,25.1,48.6,56.8,83.8,48.7,,ACS5 2019-2023
98117,35147,2040,14588,4278,29.33,1.44,30463,,182500,,29.29,10.78,5.72,2012,506.0,10.6,74.85,12.32,1.98,656,Spanish,1003,Other Indo-European,575,Chinese (Mandarin/Cantonese),494,Russian/Polish/Slavic,473,Other Asian/Pacific Island,338,7.6,0.89,4.42,78.69,8.4,,,,,33.4,29.0,49.6,54.3,65.7,61.2,,ACS5 2019-2023
98118,49560,2518,18593,7911,42.55,1.44,42955,,109085,,48.84,24.18,6.33,3139,503.0,7.7,48.96,26.95,16.32,7578,Spanish,3234,Vietnamese,2499,Chinese (Mandarin/Cantonese),2403,Tagalog/Filipino,1827,Other Asian/Pacific Island,1361,23.67,18.11,12.03,37.95,8.24,,,,,32.1,36.3,34.8,47.8,88.0,23.0,,ACS5 2019-2023
